"LME","Year","class","catch"
1,1950,"U",270077.840082697
1,1950,"V",10539.8376751426
1,1951,"U",304892.334252183
1,1951,"V",8890.9429994867
1,1952,"U",342729.958327678
1,1952,"V",9582.93304027953
1,1953,"U",342162.846475519
1,1953,"V",9750.82815371988
1,1954,"U",334234.830599809
1,1954,"V",13449.2477049199
1,1955,"U",301457.148597214
1,1955,"V",12249.5501803746
1,1956,"U",339831.891303397
1,1956,"V",14568.6192443231
1,1957,"U",351942.136109484
1,1957,"V",15794.8801187643
1,1958,"U",360500.89117505
1,1958,"V",20912.0482352861
1,1959,"U",365602.551599698
1,1959,"V",30415.3355109601
1,1960,"U",412062.099914053
1,1960,"V",37212.6020619466
1,1961,"U",462914.246153678
1,1961,"V",44273.0169311836
1,1962,"U",493135.242235649
1,1962,"V",48028.8973385927
1,1963,"U",553914.010323413
1,1963,"V",58503.5142094483
1,1964,"U",641695.862199868
1,1964,"V",65441.9105616308
1,1965,"U",851171.399366797
1,1965,"V",93629.3476274105
1,1966,"U",831920.200723187
1,1966,"V",104130.436611079
1,1967,"U",850639.503763617
1,1967,"V",93963.0463123687
1,1968,"U",986054.836833683
1,1968,"V",89311.0260479391
1,1969,"U",1000768.6470408
1,1969,"V",82213.0778090679
1,1970,"U",1286031.22709059
1,1970,"V",84673.1540908561
1,1971,"U",1405940.9536908
1,1971,"V",73258.4043699802
1,1972,"U",1442968.88919757
1,1972,"V",88535.2086120652
1,1973,"U",1559962.63038039
1,1973,"V",84537.1950908016
1,1974,"U",1548292.09204271
1,1974,"V",74682.7443754639
1,1975,"U",1536457.30700301
1,1975,"V",70219.893161612
1,1976,"U",1741895.24321582
1,1976,"V",85484.27308395
1,1977,"U",1610823.08716238
1,1977,"V",81940.0238156511
1,1978,"U",1417908.11328616
1,1978,"V",93317.0091554531
1,1979,"U",1347675.21850511
1,1979,"V",90073.7433702888
1,1980,"U",1449250.78989379
1,1980,"V",100901.483000195
1,1981,"U",1071867.20521581
1,1981,"V",79815.4465507769
1,1982,"U",1741942.01329442
1,1982,"V",68382.5731736831
1,1983,"U",1884048.29621533
1,1983,"V",51441.2861520954
1,1984,"U",2252034.71003426
1,1984,"V",53643.2869209092
1,1985,"U",2495994.24341178
1,1985,"V",92116.7506221623
1,1986,"U",2637290.72747889
1,1986,"V",98080.5909698867
1,1987,"U",2578890.86159919
1,1987,"V",116603.900928684
1,1988,"U",2260441.13244977
1,1988,"V",126380.435703813
1,1989,"U",1916261.94028097
1,1989,"V",72088.5443319923
1,1990,"U",1263324.98827688
1,1990,"V",78475.2563423366
1,1991,"U",1611131.43297677
1,1991,"V",105067.682807887
1,1992,"U",1210951.34980784
1,1992,"V",110842.373551704
1,1993,"U",1267115.71871861
1,1993,"V",104592.887495248
1,1994,"U",1205424.80967678
1,1994,"V",66084.6319538706
1,1995,"U",1206907.11175359
1,1995,"V",51277.7037082991
1,1996,"U",1674004.42759712
1,1996,"V",56128.8692549896
1,1997,"U",1145837.06772822
1,1997,"V",54649.904040373
1,1998,"U",1161481.58778973
1,1998,"V",60034.2081220684
1,1999,"U",1047691.82904866
1,1999,"V",55287.0130820577
1,2000,"U",1084698.73782352
1,2000,"V",38189.6329270167
1,2001,"U",1140576.73242069
1,2001,"V",32470.5259486402
1,2002,"U",1289527.82714879
1,2002,"V",39335.9968369157
1,2003,"U",1244876.61854699
1,2003,"V",38091.4047364905
1,2004,"U",1124036.30009288
1,2004,"V",42059.6080820776
1,2005,"U",1280623.65348335
1,2005,"V",42538.7791622151
1,2006,"U",1145460.98222152
1,2006,"V",40186.8368113803
1,2007,"U",1129626.59998396
1,2007,"V",41537.1088227963
1,2008,"U",1075483.03000977
1,2008,"V",50477.1660585526
1,2009,"U",987473.345413948
1,2009,"V",49329.3762428301
1,2010,"U",962519.51316022
1,2010,"V",47886.4488445548
1,2011,"U",1145535.36801929
1,2011,"V",53356.2560747733
1,2012,"U",1131193.39300836
1,2012,"V",53098.5542477156
1,2013,"U",1247486.27916681
1,2013,"V",65790.8154809522
1,2014,"U",1166375.15852704
1,2014,"V",61625.449955839
1,2015,"U",1263297.23223628
1,2015,"V",57417.9427484823
1,2016,"U",1307674.4094574
1,2016,"V",41803.4879294443
1,2017,"U",1365116.87243959
1,2017,"V",29672.6162139919
2,1880,"U",26076.7123
2,1889,"U",25739.2542
2,1890,"U",26850.9539
2,1891,"U",26109.6983
2,1892,"U",25233.6857
2,1905,"U",30588.8258
2,1906,"U",31262.4285
2,1907,"U",29476.8087
2,1908,"U",31363.1484
2,1911,"U",93720.9982
2,1912,"U",118302.9748
2,1913,"U",138769.7456
2,1914,"U",154901.6231
2,1915,"U",139862.2918
2,1916,"U",134202.5639
2,1917,"U",308888.8506
2,1918,"U",151374.493
