"LME","Year","class","effort"
1,1841,"U",218941.488697658
1,1841,"V",48706.3232094582
1,1842,"U",218941.488697658
1,1842,"V",48706.3232094582
1,1843,"U",218941.488697658
1,1843,"V",48706.3232094582
1,1844,"U",218941.488697658
1,1844,"V",48706.3232094582
1,1845,"U",218941.488697658
1,1845,"V",48706.3232094582
1,1846,"U",218941.488697658
1,1846,"V",48706.3232094582
1,1847,"U",218941.488697658
1,1847,"V",48706.3232094582
1,1848,"U",218941.488697658
1,1848,"V",48706.3232094582
1,1849,"U",218941.488697658
1,1849,"V",48706.3232094582
1,1850,"U",218941.488697658
1,1850,"V",48706.3232094582
1,1851,"U",218941.488697658
1,1851,"V",48706.3232094582
1,1852,"U",218941.488697658
1,1852,"V",48706.3232094582
1,1853,"U",218941.488697658
1,1853,"V",48706.3232094582
1,1854,"U",218941.488697658
1,1854,"V",48706.3232094582
1,1855,"U",218941.488697658
1,1855,"V",48706.3232094582
1,1856,"U",218941.488697658
1,1856,"V",48706.3232094582
1,1857,"U",218941.488697658
1,1857,"V",48706.3232094582
1,1858,"U",218941.488697658
1,1858,"V",48706.3232094582
1,1859,"U",218941.488697658
1,1859,"V",48706.3232094582
1,1860,"U",218941.488697658
1,1860,"V",48706.3232094582
1,1861,"U",218941.488697658
1,1861,"V",48706.3232094582
1,1862,"U",231528.049164512
1,1862,"V",51506.363922804
1,1863,"U",244838.188818335
1,1863,"V",54467.3740438111
1,1864,"U",258913.504951828
1,1864,"V",57598.6074201396
1,1865,"U",273797.986212761
1,1865,"V",60909.8498868485
1,1866,"U",289538.150078773
1,1866,"V",64411.4498494143
1,1867,"U",306183.188235335
1,1867,"V",68114.3506249125
1,1868,"U",323785.12031126
1,1868,"V",72030.1246424392
1,1869,"U",342398.956452172
1,1869,"V",76171.0096096513
1,1870,"U",362082.869240049
1,1870,"V",80549.9467584575
1,1871,"U",382898.37549613
1,1871,"V",85180.621289392
1,1872,"U",404910.528535324
1,1872,"V",90077.5051410572
1,1873,"U",428188.121473013
1,1873,"V",95255.9022183096
1,1874,"U",452803.90221958
1,1874,"V",100731.996220535
1,1875,"U",478834.800834618
1,1875,"V",106522.901219484
1,1876,"U",506362.16995131
1,1876,"V",112646.715144743
1,1877,"U",535472.039022405
1,1877,"V",119122.576343986
1,1878,"U",566255.383182324
1,1878,"V",125970.723394779
1,1879,"U",598808.40756569
1,1879,"V",133212.558354854
1,1880,"U",633232.847970833
1,1880,"V",140870.713648541
1,1881,"U",669636.288807892
1,1881,"V",148969.122798369
1,1882,"U",708132.499325211
1,1882,"V",157533.095222916
1,1883,"U",748841.789164786
1,1883,"V",166589.395334641
1,1884,"U",791891.384357978
1,1884,"V",176166.326184927
1,1885,"U",837415.824936557
1,1885,"V",186293.817917715
1,1886,"U",885557.38540169
1,1886,"V",197003.521308196
1,1887,"U",936466.519364962
1,1887,"V",208328.906678865
1,1888,"U",990302.329751031
1,1888,"V",220305.368502087
1,1889,"U",1047233.0660314
1,1889,"V",232970.336016092
1,1890,"U",1107436.65004326
1,1890,"V",246363.390200076
1,1891,"U",1171101.2320368
1,1891,"V",260526.387473994
1,1892,"U",1238425.77868859
1,1892,"V",275503.590509645
1,1893,"U",1309620.69491893
1,1893,"V",291341.806561849
1,1894,"U",1384908.48145628
1,1894,"V",308090.533752048
1,1895,"U",1464524.43020403
1,1895,"V",325802.11576148
1,1896,"U",1548717.35958254
1,1896,"V",344531.905417397
1,1897,"U",1637750.39214481
1,1897,"V",364338.43768358
1,1898,"U",1731901.77689587
1,1898,"V",385283.61259575
1,1899,"U",1831465.75888585
1,1899,"V",407432.888713631
1,1900,"U",1936753.49879439
1,1900,"V",430855.487694223
1,1901,"U",2048094.04538046
1,1901,"V",455624.610625634
1,1902,"U",2165835.36383647
