"lme","dint","dslope"
1,0.644,0.0279
2,0.707,0.0172
3,0.688,0.0175
4,0.472,0.0101
5,0.985,0.0661
8,0.346,0.0095
9,0.667,0.0265
10,0.496,0.0207
12,0.804,0.0477
13,0.739,0.0146
14,0.368,0.02
15,0.587,0.0323
16,0.516,0.0283
17,0.755,0.0536
19,1.547,0.0492
20,1.568,0.0576
21,1.275,0.0556
22,0.683,0.0464
23,0.568,0.0402
24,0.566,0.0323
25,0.592,0.0157
26,0.592,0.0139
27,0.661,0.0202
28,0.844,0.0425
29,0.767,0.0177
30,0.62,0.0266
31,0.722,0.0328
33,0.423,0.0197
34,0.632,0.025
35,-0.056,-0.0048
36,0.484,0.0167
37,0.497,0.0182
38,0.849,0.0539
39,0.262,0.0227
40,0.485,0.023
41,0.723,0.0319
42,0.549,0.0177
43,0.526,0.0238
44,0.612,0.0318
45,0.711,0.0417
46,0.717,0.0316
47,0.5,0.031
48,0.178,0.0148
49,0.733,0.0349
50,0.608,0.0144
51,0.592,0.0142
52,0.877,0.0423
53,0.893,0.0417
54,1.474,0.0656
55,1.944,0.071
56,1.589,0.0679
57,1.864,0.0936
58,1.721,0.0726
59,1.3,0.0552
60,1.248,0.0739
61,1.889,0.0871
62,0.613,0.0206
63,0.96,0.0554
64,1.656,0.0126
65,0.583,0.0095
121,0.681,0.02
127,0.737,0.0276
131,0.858,0.0535
134,0.621,0.0264
141,1,0.0579
147,0.759,0.0341
151,0.762,0.0379
157,0.693,0.0338
158,0.759,0.0339
161,0.954,0.0541
167,0.555,0.0052
171,0.726,0.0358
177,0.702,0.0289
181,0.775,0.0404
187,0.791,0.0373
6,1.088,0
7,0.363,0
11,0.709,0
18,1.48,0
66,1.947,0
32,1.165,0
148,1.085,0
188,1.161,0
